Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
21/05/17,Milan,Bologna,3,0,H,2016-17,16,0.6
21/05/17,Sassuolo,Cagliari,6,2,H,2016-17,16,0.6
21/05/17,Udinese,Sampdoria,1,1,D,2016-17,16,0.6
22/05/17,Pescara,Palermo,2,0,H,2016-17,16,0.6
27/05/17,Atalanta,Chievo,1,0,H,2016-17,16,0.6
27/05/17,Bologna,Juventus,1,2,A,2016-17,16,0.6
28/05/17,Cagliari,Milan,2,1,H,2016-17,16,0.6
28/05/17,Crotone,Lazio,3,1,H,2016-17,16,0.6
28/05/17,Fiorentina,Pescara,2,2,D,2016-17,16,0.6
28/05/17,Inter,Udinese,5,2,H,2016-17,16,0.6
28/05/17,Palermo,Empoli,2,1,H,2016-17,16,0.6
28/05/17,Roma,Genoa,3,2,H,2016-17,16,0.6
28/05/17,Sampdoria,Napoli,2,4,A,2016-17,16,0.6
28/05/17,Torino,Sassuolo,5,3,H,2016-17,16,0.6
19/08/17,Juventus,Cagliari,3,0,H,2017-18,17,0.7
19/08/17,Verona,Napoli,1,3,A,2017-18,17,0.7
20/08/17,Atalanta,Roma,0,1,A,2017-18,17,0.7
20/08/17,Bologna,Torino,1,1,D,2017-18,17,0.7
20/08/17,Crotone,Milan,0,3,A,2017-18,17,0.7
20/08/17,Inter,Fiorentina,3,0,H,2017-18,17,0.7
20/08/17,Lazio,Spal,0,0,D,2017-18,17,0.7
20/08/17,Sampdoria,Benevento,2,1,H,2017-18,17,0.7
20/08/17,Sassuolo,Genoa,0,0,D,2017-18,17,0.7
20/08/17,Udinese,Chievo,1,2,A,2017-18,17,0.7
26/08/17,Benevento,Bologna,0,1,A,2017-18,17,0.7
26/08/17,Genoa,Juventus,2,4,A,2017-18,17,0.7
26/08/17,Roma,Inter,1,3,A,2017-18,17,0.7
27/08/17,Chievo,Lazio,1,2,A,2017-18,17,0.7
27/08/17,Crotone,Verona,0,0,D,2017-18,17,0.7
